T, G

1.0, -1064.518068
20.0, -1064.519683
40.0, -1064.521842
60.0, -1064.524372
80.0, -1064.527251
100.0, -1064.530455
120.0, -1064.533962
140.0, -1064.537756
160.0, -1064.54182
180.0, -1064.546143
200.0, -1064.550715
220.0, -1064.555528
240.0, -1064.560579
260.0, -1064.565863
280.0, -1064.571376
300.0, -1064.577118
320.0, -1064.583087
340.0, -1064.589282
360.0, -1064.595702
380.0, -1064.602346
400.0, -1064.609214
420.0, -1064.616304
440.0, -1064.623615
460.0, -1064.631147
480.0, -1064.638898

