T, G

1.0, -1064.512413
20.0, -1064.514095
40.0, -1064.516458
60.0, -1064.519243
80.0, -1064.522392
100.0, -1064.525867
120.0, -1064.52964
140.0, -1064.533691
160.0, -1064.538003
180.0, -1064.542566
200.0, -1064.547368
220.0, -1064.552404
240.0, -1064.557668
260.0, -1064.563156
280.0, -1064.568868
300.0, -1064.5748
320.0, -1064.580952
340.0, -1064.587323
360.0, -1064.593913
380.0, -1064.600721
400.0, -1064.607746
420.0, -1064.614988
440.0, -1064.622446
460.0, -1064.630118
480.0, -1064.638005

