Deg,GS,S1,T1

0, 0.6894511600839905, 2.8584, 1.773, 15.899364257580897, 65.91727656, 40.8869757
10, 0.6733545285314904, 2.7342, 1.6446, 15.528161447011847, 63.05311278, 37.925956140000004
20, 0.7059897047802224, 2.5412, 1.4292, 16.28075798296623, 58.60235908, 32.95863828
30, 0.7898209532140754, 2.2877, 1.1286, 18.213982019974473, 52.756420930000004, 26.026531740000003
40, 0.9261612238915404, 1.9714, 0.7171, 21.358111368040426, 45.46225826, 16.536971389999998
50, 1.1131541550930706, 1.6075, -0.2949, 25.670336655185793, 37.07039675, -6.80065941
60, 1.3487444697893807, 1.2054, -0.6487, 31.10326134336593, 27.79760886, -14.959605830000001
70, 1.61925299718132, 0.7772, -0.6167, 37.341431442698706, 17.92293148, -14.221657030000001
80, 1.7449737468996318, 1.4256, 0.7416, 40.24066507987772, 32.87561904, 17.101963440000002
90, 1.746656227755011, 1.4205, 0.7365, 40.279464602635535, 32.758008450000005, 16.98435285
100, 1.7449759238079423, 1.4257, 0.7419, 40.240715281342574, 32.87792513, 17.10888171
110, 1.558473342032812, 0.7213, -0.6812, 35.93979789328448, 16.63382717, -15.709085080000001
120, 1.1898274447594304, 1.1575, -0.721, 27.43849172085275, 26.69299175, -16.6269089
130, 0.8483219257323071, 1.5705, -0.4506, 19.56306709712016, 36.21714345, -10.39124154
140, 0.552118217543466, 1.9511, 0.6565, 12.732343002948115, 44.994121990000004, 15.13948085
150, 0.31386907695559785, 2.2834, 1.1235, 7.2381033967653465, 52.657259059999994, 25.908921149999998
160, 0.14228160774655407, 2.5547, 1.47, 3.281141928082509, 58.91368123, 33.899523
170, 0.0349968536538654, 2.7574, 1.7239, 0.8070589424264246, 63.58812566, 39.75468551
180, 0.0, 3.2313, 1.8238, 0.0, 74.51668617, 42.05846942

