Deg,GS,S1,T1

0, 0.0, 3.6282, 1.9684, 0.0, 83.66955738, 45.39307556
10, 0.007969185026013292, 3.6289, 1.971, 0.18377657896638994, 83.68570000999999, 45.4530339
20, 0.007969185026013292, 3.6289, 1.971, 0.18377657896638994, 83.68570000999999, 45.4530339
30, 0.06973016490155715, 3.6335, 1.9908, 1.6080403597783193, 83.79178015000001, 45.90963972
40, 0.11785292714921525, 3.6379, 2.0072, 2.717794567695338, 83.89324811, 46.287838480000005
50, 0.17273004868184216, 3.6442, 2.0272, 3.983310379647094, 84.03853178, 46.74905648
60, 0.23402473400346935, 3.6413, 2.0353, 5.396820988380607, 83.97165517, 46.93584977
70, 0.2965809126217209, 3.6337, 2.036, 6.839422767878244, 83.79639233, 46.9519924
80, 0.3480490443871531, 3.6264, 2.0344, 8.026324207707699, 83.62804776, 46.915094960000005
90, 0.3709031645375944, 3.6236, 2.0343, 8.553360787085012, 83.56347724, 46.91278887
100, 0.355948568227177, 3.6262, 2.0368, 8.208494337030107, 83.62343557999999, 46.97044112
110, 0.3115148282631708, 3.6306, 2.0372, 7.183812303094156, 83.72490354, 46.97966548
120, 0.25386110989711597, 3.631, 2.0286, 5.854265669226401, 83.73412789999999, 46.78134174
130, 0.19421728578890907, 3.6249, 2.0099, 4.478825405849453, 83.59345641, 46.350102910000004
140, 0.13660873835033271, 3.615, 1.9871, 3.1503204542231877, 83.3651535, 45.824314390000005
150, 0.0854292106887442, 3.6086, 1.9698, 1.9700744847720613, 83.21756374, 45.42536082
160, 0.045946938706038054, 3.6017, 1.9546, 1.059577758806073, 83.05844353, 45.07483514
170, 0.021448134328238666, 3.5949, 1.9424, 0.49461328093007906, 82.90162941, 44.79349216
180, 0.013345314113394124, 3.5923, 1.9381, 0.30775495423757054, 82.84167106999999, 44.694330289999996

